1차유형,초안_2차대응(지배),대응비율%,1차총면적_ha,신뢰도,확정_2차유형,비교그룹코드,확정여부(Y/N),검토메모
특수지역,특수지역,99.9,1123.1,상,특수지역,특수지역,Y,
주거·상업혼합지,혼합주거지,94.3,694.2,상,혼합주거지,혼합주거지,Y,
상업 및 업무시설지,상업업무지,91.0,2075.7,상,상업업무지,상업업무지,Y,
공공용도지,공공용도지,90.8,2273.6,상,공공용도지,공공용도지,Y,
교통시설지역,교통시설지,90.7,5899.3,상,교통시설지,교통시설지,Y,
공업지,공업지,79.9,3805.1,상,공업지,공업지,Y,
도시부양시설지,공공용도지,73.3,744.2,상,공공용도지,공공용도지,Y,공공용도지로 흡수(비율 73%). 필요시 별도 그룹 검토.
주택지,단독주택지,71.0,2913.6,상,단독주택지,주거지,Y,2순위 공동주택지 22% — '주택지'가 단독+공동 포함이면 '주거지'로 묶어 비교 권장.
상업 및 업무시설,공업지,96.1,1.2,상,상업업무지,상업업무지,Y,"사용자 확정: 상업업무지로 처리(표본 1.2ha, 공업지 지배대응은 무시)."
하천 및 호소,저수로,52.0,4529.9,중,저수로,저수로,Y,사용자 확정: 초안대로 저수로.
녹지 및 오픈스페이스,자생침엽수림,39.2,60678.3,하,자생침엽수림,자생침엽수림,Y,사용자 확정: 초안대로 자생침엽수림(지배유형 사용).
나지,유휴지,24.7,862.7,하,유휴지,유휴지,Y,사용자 확정: 초안대로 유휴지.
